"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 23:02:30 IST 2021","Wed Aug 25 23:02:34 IST 2021","4040","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"skipped","Wed Aug 25 23:02:36 IST 2021","Wed Aug 25 23:02:36 IST 2021","0","","open yahoo","","open yahoo","check yahoo test","check yahoo test",""
